A,B,C,D,E,F,G,H,I,J,K,L,M,Z,Q,P,O1,O2,O3,O4,O5
0,0,0,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0
1,0,0,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,1
0,1,0,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,1,0
1,1,0,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,1,1
0,0,1,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,0,0
1,0,1,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,0,1
0,1,1,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,1,0
1,1,1,1,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,1,1
x,x,x,x,0,0,0,1,x,x,x,x,x,x,x,x,0,1,0,0,0
x,x,x,x,1,0,0,1,x,x,x,x,x,x,x,x,0,1,0,0,1
x,x,x,x,0,1,0,1,x,x,x,x,x,x,x,x,0,1,0,1,0
x,x,x,x,1,1,0,1,x,x,x,x,x,x,x,x,0,1,0,1,1
x,x,x,x,0,0,1,1,x,x,x,x,x,x,x,x,0,1,1,0,0
x,x,x,x,1,0,1,1,x,x,x,x,x,x,x,x,0,1,1,0,1
x,x,x,x,0,1,1,1,x,x,x,x,x,x,x,x,0,1,1,1,0
x,x,x,x,1,1,1,1,x,x,x,x,x,x,x,x,0,1,1,1,1
x,x,x,x,x,x,x,x,0,0,0,1,x,x,x,x,1,0,0,0,0
x,x,x,x,x,x,x,x,1,0,0,1,x,x,x,x,1,0,0,0,1
x,x,x,x,x,x,x,x,0,1,0,1,x,x,x,x,1,0,0,1,0
x,x,x,x,x,x,x,x,1,1,0,1,x,x,x,x,1,0,0,1,1
x,x,x,x,x,x,x,x,0,0,1,1,x,x,x,x,1,0,1,0,0
x,x,x,x,x,x,x,x,1,0,1,1,x,x,x,x,1,0,1,0,1
x,x,x,x,x,x,x,x,0,1,1,1,x,x,x,x,1,0,1,1,0
x,x,x,x,x,x,x,x,1,1,1,1,x,x,x,x,1,0,1,1,1
x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,1,1,1,0,0,0
x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,1,1,1,0,0,1
x,x,x,x,x,x,x,x,x,x,x,x,0,1,0,1,1,1,0,1,0
x,x,x,x,x,x,x,x,x,x,x,x,1,1,0,1,1,1,0,1,1
x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,1,1,1,1,0,0
x,x,x,x,x,x,x,x,x,x,x,x,1,0,1,1,1,1,1,0,1
x,x,x,x,x,x,x,x,x,x,x,x,0,1,1,1,1,1,1,1,0
x,x,x,x,x,x,x,x,x,x,x,x,1,1,1,1,1,1,1,1,1
x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0